ID              Name                                     Data                 Title                    
6427230         Goiffon, et al.                          July 30, 2002        System and method for defining and managing reusable groups software constructs within an object management system

6442688         Moses, et al.                            August 27, 2002      Method and apparatus for obtaining status of public key certificate updates

6446120         Dantressangle                            September 3, 2002    Configurable stresser for a web server

6463488         San Juan                                 October 8, 2002      Apparatus and method for testing master logic units within a data processing apparatus

6484180         Lyons, et al.                            November 19, 2002    Accessing domain object data stored in a relational database system

6519571         Guheen, et al.                           February 11, 2003    Dynamic customer profile management

6591272         Williams                                 July 8, 2003         Method and apparatus to make and transmit objects from a database on a server computer to a client computer

6601233         Underwood                                July 29, 2003        Business components framework

6606744         Mikurak                                  August 12, 2003      Providing collaborative installation management in a network-based supply chain environment

6611812         Hurtado, et al.                          August 26, 2003      Secure electronic content distribution on CDS and DVDs

6625602         Meredith, et al.                         September 23, 2003   Method and system for hierarchical transactions and compensation

6662192         Rebane                                   December 9, 2003     System and method for data collection, evaluation, information generation, and presentation

6662357         Bowman-Amuah                             December 9, 2003     Managing information in an integrated development architecture framework

6697824         Bowman-Amuah                             February 24, 2004    Relationship management in an E-commerce application framework

6725200         Rost                                     April 20, 2004       Personal data archive system

6732109         Lindberg, et al.                         May 4, 2004          Method and system for transferring information between a user interface and a database over a global information network

6755344         Mollett, et al.                          June 29, 2004        Systems and methods for determining an authorization threshold

6757685         Raffaele, et al.                         June 29, 2004        Process for executing a downloadable service receiving restrictive access rights to at least one profile file

6757888         Knutson, et al.                          June 29, 2004        Method and apparatus for manipulating data during automated data processing

6816944         Peng                                     November 9, 2004     Apparatus and methods for providing coordinated and personalized application and data management for resource-limited mobile devices

6826693         Yoshida, et al.                          November 30, 2004    Information transmission apparatus

6886101         Glazer, et al.                           April 26, 2005       Privacy service          

6901346         Tracy, et al.                            May 31, 2005         System, method and medium for certifying and accrediting requirements compliance

6904417         Clayton, et al.                          June 7, 2005         Policy notice method and system

6925443         Baggett, Jr., et al.                     August 2, 2005       Method, system and computer program product for assessing information security

6938041         Brandow, et al.                          August 30, 2005      Java-based data access object

6978270         Carty, et al.                            December 20, 2005    System and method for capturing and storing operational data concerning an internet service provider's (ISP) operational environment and customer web browsing habits

6980987         Kaminer                                  December 27, 2005    Graphical user interface-relational database access system for a robotic archive

6983221         Tracy, et al.                            January 3, 2006      Enhanced system, method and medium for certifying and accrediting requirements compliance utilizing robust risk assessment model

6985887         Sunstein, et al.                         January 10, 2006     Apparatus and method for authenticated multi-user personal information database

6990454         McIntosh                                 January 24, 2006     Automated third party verification system

6993448         Tracy, et al.                            January 31, 2006     System, method and medium for certifying and accrediting requirements compliance

6993495         Smith, Jr., et al.                       January 31, 2006     Dynamically assigning a survey to a respondent

6996807         Vardi, et al.                            February 7, 2006     Consolidation and reduction of usage data

7003560         Mullen, et al.                           February 21, 2006    Data warehouse computing system

7003662         Genty, et al.                            February 21, 2006    System and method for dynamically determining CRL locations and access methods

7013290         Ananian                                  March 14, 2006       Personalized interactive digital catalog profiling

7017105         Flanagin, et al.                         March 21, 2006       Deleting objects from a store of a device

7039594         Gersting                                 May 2, 2006          Method and system for content management assessment, planning and delivery

7039654         Eder                                     May 2, 2006          Automated bot development system

7047517         Brown, et al.                            May 16, 2006         System for integrating data between a plurality of software applications in a factory environment

7051036         Rosnow, et al.                           May 23, 2006         Computer-implemented system and method for project development

7051038         Yeh, et al.                              May 23, 2006         Method and system for a reporting information services architecture

7058970         Shaw                                     June 6, 2006         On connect security scan and delivery by a network security authority

7069427         Adler, et al.                            June 27, 2006        Using a rules model to improve handling of personally identifiable information

7076558         Dunn                                     July 11, 2006        User-centric consent management system and method

7095854         Ginter, et al.                           August 22, 2006      Systems and methods for secure transaction management and electronic rights protection

7120800         Ginter, et al.                           October 10, 2006     Systems and methods for secure transaction management and electronic rights protection

7124101         Mikurak                                  October 17, 2006     Asset tracking in a network-based supply chain environment

7127705         Christfort, et al.                       October 24, 2006     Developing applications online

7127741         Bandini, et al.                          October 24, 2006     Method and system for e-mail message transmission

7133845         Ginter, et al.                           November 7, 2006     System and methods for secure transaction management and electronic rights protection

7139999         Bowman-Amuah                             November 21, 2006    Development architecture framework

7143091         Charnock, et al.                         November 28, 2006    Method and apparatus for sociological data mining

7167842         Josephson, II, et al.                    January 23, 2007     Architecture and method for operational privacy in business services

7171379         Menninger, et al.                        January 30, 2007     System, method and computer program product for normalizing data in a supply chain management framework

7181438         Szabo                                    February 20, 2007    Database access system   

7203929         Vinodkrishnan, et al.                    April 10, 2007       Design data validation tool for use in enterprise architecture modeling

7213233         Vinodkrishnan, et al.                    May 1, 2007          Modeling standards validation tool for use in enterprise architecture modeling

7216340         Vinodkrishnan, et al.                    May 8, 2007          Analysis data validation tool for use in enterprise architecture modeling with result based model updating

7219066         Parks, et al.                            May 15, 2007         Skills matching application

7223234         Stupp, et al.                            May 29, 2007         Apparatus for determining association variables

7225460         Barzilai, et al.                         May 29, 2007         Enterprise privacy manager

7234065         Breslin, et al.                          June 19, 2007        System and method for managing data privacy

7247625         Zhang, et al.                            July 24, 2007        6-amino-1,4-dihydro-benzo[d][1,3] oxazin-2-ones and analogs useful as progesterone receptor modulators

7251624         Lee, et al.                              July 31, 2007        Score based decisioning  

7260830         Sugimoto                                 August 21, 2007      Method and apparatus for establishing a security policy, and method and apparatus for supporting establishment of security policy

7266566         Kennaley, et al.                         September 4, 2007    Database management system

7272818         Ishimitsu, et al.                        September 18, 2007   Creation of an object within an object hierarchy structure

7275063         Horn                                     September 25, 2007   Computer system for automatic organization, indexing and viewing of information from multiple sources

7281020         Fine                                     October 9, 2007      Proprietary information identification, management and protection

7284232         Bates, et al.                            October 16, 2007     Automated generation of aliases based on embedded alias information

7284271         Lucovsky, et al.                         October 16, 2007     Authorizing a requesting entity to operate upon data structures

7287280         Young                                    October 23, 2007     Automated security management

7290275         Baudoin, et al.                          October 30, 2007     Security maturity assessment method

7302569         Betz, et al.                             November 27, 2007    Implementation and use of a PII data access control facility employing personally identifying information labels and purpose serving functions sets

7313575         Carr, et al.                             December 25, 2007    Data services handler    

7313699         Koga                                     December 25, 2007    Automatic authentication method and system in print process

7313825         Redlich, et al.                          December 25, 2007    Data security system and method for portable device

7315849         Bakalash, et al.                         January 1, 2008      Enterprise-wide data-warehouse with integrated data aggregation engine

7322047         Redlich, et al.                          January 22, 2008     Data security system and method associated with data mining

7330850         Seibel, et al.                           February 12, 2008    Text mining system for web-based business intelligence applied to web site server logs

7340447         Ghatare                                  March 4, 2008        Partitioning data access requests

7340776         Zobel, et al.                            March 4, 2008        Method and system for configuring and scheduling security audits of a computer network

7343434         Kapoor, et al.                           March 11, 2008       Buffer management within SLS (simple load store) apertures for inter-endpoint communication in advanced switching fabric

7353204         Liu                                      April 1, 2008        Certified transmission system

7356559         Jacobs, et al.                           April 8, 2008        Integrated platform for developing and maintaining a distributed multiapplication online presence

7367014         Griffin                                  April 29, 2008       System and method for XML data representation of portlets

7370025         Pandit                                   May 6, 2008          System and method for providing access to replicated data

7376835         Olkin, et al.                            May 20, 2008         Implementing nonrepudiation and audit using authentication assertions and key servers

7380120         Garcia                                   May 27, 2008         Secured data format for access control

7383570         Pinkas, et al.                           June 3, 2008         Secure authentication systems and methods

7391854         Salonen, et al.                          June 24, 2008        Method, system and computer program product for online charging in a communications network

7398393         Mont, et al.                             July 8, 2008         Privacy management of personal data

7401235         Mowers, et al.                           July 15, 2008        Persistent authorization context based on external authentication

7403942         Bayliss                                  July 22, 2008        Method and system for processing data records

7409354         Putnam, et al.                           August 5, 2008       Method and apparatus for operative event documentation and related data management

7412402         Cooper                                   August 12, 2008      Performance motivation systems and methods for contact centers

7424680         Carpenter                                September 9, 2008    Set top box object security system

7430585         Sibert                                   September 30, 2008   Secure processing unit systems and methods

7454457         Lowery, et al.                           November 18, 2008    Method and apparatus for dynamic data flow control using prioritization of data requests

7454508         Mathew, et al.                           November 18, 2008    Consent mechanism for online entities

7478157         Bohrer, et al.                           January 13, 2009     System, method, and business methods for enforcing privacy preferences on personal-data exchanges across a network

7480755         Herrell, et al.                          January 20, 2009     Trap mode register       

7487170         Stevens                                  February 3, 2009     Location information for avoiding unwanted communications systems and methods

7493282         Manly, et al.                            February 17, 2009    System and method for automated account management

7512987         Williams                                 March 31, 2009       Adaptive digital rights management system for plural device domains

7516882         Cucinotta                                April 14, 2009       Remote validation system useful for financial transactions

7523053         Pudhukottai, et al.                      April 21, 2009       Internal audit operations for Sarbanes Oxley compliance

7529836         Bolen                                    May 5, 2009          Technique for throttling data access requests

7548968         Bura, et al.                             June 16, 2009        Policing internet domains

7552480         Voss                                     June 23, 2009        Method and system of assessing risk using a one-dimensional risk assessment model

7562339         Racca, et al.                            July 14, 2009        System architecture for business process development and execution with introspection and generic components

7567541         Karimi, et al.                           July 28, 2009        System and method for personal data backup for mobile customer premises equipment

7584505         Mondri, et al.                           September 1, 2009    Inspected secure communication protocol

7587749         Leser, et al.                            September 8, 2009    Computer method and apparatus for managing data objects in a distributed context

7590705         Mathew, et al.                           September 15, 2009   Profile and consent accrual

7590972         Axelrod, et al.                          September 15, 2009   Role-oriented development environment

7603356         Schran, et al.                           October 13, 2009     System and method for network administration and local administration of privacy protection criteria

7606783         Carter                                   October 20, 2009     Health, safety and security analysis at a client location

7606790         Levy                                     October 20, 2009     Integrating and enhancing searching of media content and biometric databases

7607120         Sanyal, et al.                           October 20, 2009     Method and apparatus for creating data transformation routines for binary data

7613700         Lobo, et al.                             November 3, 2009     System and method for electronic submission, procurement, and access to highly varied material property data

7617167         Griffis, et al.                          November 10, 2009    Machine vision system for enterprise management

7620644         Cote, et al.                             November 17, 2009    Reentrant database object wizard

7630874         Fables, et al.                           December 8, 2009     Data visualization methods for simulation modeling of agent behavioral expression

7630998         Zhou, et al.                             December 8, 2009     Performing a deletion of a node in a tree data storage structure

7636742         Olavarrieta, et al.                      December 22, 2009    Automated data retrieval 

7640322         Wendkos, et al.                          December 29, 2009    Systems and methods for producing, managing, delivering, retrieving, and/or tracking permission based communications

7650497         Thornton, et al.                         January 19, 2010     Automated digital certificate renewer

7653592         Flaxman, et al.                          January 26, 2010     System and method for processing a loan

7657476         Barney                                   February 2, 2010     Method and system for valuing intangible assets

7657694         Mansell, et al.                          February 2, 2010     Handling access requests in a data processing apparatus

7665073         Meijer, et al.                           February 16, 2010    Compile time meta-object protocol systems and methods

7665125         Heard, et al.                            February 16, 2010    System and method for distribution of security policies for mobile devices

7668947         Hutchinson, et al.                       February 23, 2010    Methods and systems for managing assets

7673282         Amaru, et al.                            March 2, 2010        Enterprise information unification

7681034         Lee, et al.                              March 16, 2010       Method and apparatus for securing electronic data

7685561         Deem, et al.                             March 23, 2010       Storage API for a common data platform

7685577         Pace, et al.                             March 23, 2010       System and method for translating an asset for distribution over multi-tiered networks

7693593         Ishibashi, et al.                        April 6, 2010        Production planning method and production planning system

7707224         Chastagnol, et al.                       April 27, 2010       Blocking of unlicensed audio content in video files on a video hosting website

7712029         Ferreira, et al.                         May 4, 2010          Removing personal information when a save option is and is not available

7716242         Pae, et al.                              May 11, 2010         Method and apparatus for controlling access to personally identifiable information

7725474         Tamai, et al.                            May 25, 2010         Apparatus and method for information processing in network system

7725875         Waldrep                                  May 25, 2010         Automated world wide web navigation and content extraction

7729940         Harvey, et al.                           June 1, 2010         Analyzing return on investment of advertising campaigns by matching multiple data sources

7730142         LeVasseur, et al.                        June 1, 2010         Electronic mail system with functionality to include both private and public messages in a communication

7752124         Green, et al.                            July 6, 2010         System and method for automated loan compliance assessment

7756826         Bots, et al.                             July 13, 2010        Method and systems for efficient delivery of previously stored content

7756987         Wang, et al.                             July 13, 2010        Cybersquatter patrol     

7774745         Fildebrandt, et al.                      August 10, 2010      Mapping of designtime to runtime in a visual modeling language environment

7788212         Beckmann, et al.                         August 31, 2010      System and method for personalization implemented on multiple networks and multiple interfaces

7788222         Shah, et al.                             August 31, 2010      Information exchange engine providing a critical infrastructure layer and methods of use thereof

7788632         Kuester, et al.                          August 31, 2010      Methods and systems for evaluating the compliance of software to a quality benchmark

7788726         Teixeira                                 August 31, 2010      System and methodology providing information lockbox

7801758         Gracie, et al.                           September 21, 2010   System and method for conducting an optimized customer identification program

7822620         Dixon, et al.                            October 26, 2010     Determining website reputations using automatic testing

7827523         Ahmed, et al.                            November 2, 2010     Query serving infrastructure providing flexible and expandable support and compiling instructions

7844640         Bender, et al.                           November 30, 2010    Data mapping visualization

7849143         Vuong                                    December 7, 2010     System and method of dynamic management of spam

7853468         Callahan, et al.                         December 14, 2010    System and methods for integrated compliance monitoring

7853470         Sonnleithner, et al.                     December 14, 2010    Assigning tangible assets to workplaces

7853925         Kemmler                                  December 14, 2010    System and method for managing hierarchical software development

7870540         Zare, et al.                             January 11, 2011     Dynamic object validation

7870608         Shraim, et al.                           January 11, 2011     Early detection and monitoring of online fraud

7873541         Klar, et al.                             January 18, 2011     System and method for aggregating advertising pricing data

7877327         Gwiazda, et al.                          January 25, 2011     Apparatus and method for creating and using documents in a distributed computing network

7877812         Koved, et al.                            January 25, 2011     Method, system and computer program product for enforcing privacy policies

7885841         King                                     February 8, 2011     Audit planning           

7895260         Archer, et al.                           February 22, 2011    Processing data access requests among a plurality of compute nodes

7904487         Ghatare                                  March 8, 2011        Translating data access requests

7917888         Chong, et al.                            March 29, 2011       System and method for building multi-modal and multi-channel applications

7917963         Goyal, et al.                            March 29, 2011       System for providing mobile data security

7921152         Ashley, et al.                           April 5, 2011        Method and system for providing user control over receipt of cookies from e-commerce applications

7930197         Ozzie, et al.                            April 19, 2011       Personal data mining     

7930753         Mellinger, et al.                        April 19, 2011       Methods and systems for performing security risk assessments of internet merchant entities

7953725         Burris, et al.                           May 31, 2011         Method, system, and storage medium for providing web information processing services

7954150         Croft, et al.                            May 31, 2011         Methods and systems for assigning access control levels in providing access to resources via virtual machines

7958087         Blumenau                                 June 7, 2011         Systems and methods for cross-system digital asset tag propagation

7958494         Chaar, et al.                            June 7, 2011         Rapid on-boarding of a software factory

7962900         Barraclough, et al.                      June 14, 2011        Converting program code with access coordination for a shared memory

7966310         Sullivan, et al.                         June 21, 2011        Method, system, and software for correcting uniform resource locators

7966599         Malasky, et al.                          June 21, 2011        Runtime library including a virtual file system

7966663         Strickland, et al.                       June 21, 2011        Methods and systems for determining privacy requirements for an information resource

7975000         Dixon, et al.                            July 5, 2011         A/B testing of a webpage 

7991559         Dzekunov, et al.                         August 2, 2011       Computerized electroporation

7996372         Rubel, Jr.                               August 9, 2011       Automated response to solicited and unsolicited communications and automated collection and management of data extracted therefrom

8010612         Costea, et al.                           August 30, 2011      Secure transactional communication

8010720         Iwaoka, et al.                           August 30, 2011      Storage system disposed with plural integrated circuits

8019881         Sandhu, et al.                           September 13, 2011   Secure cookies           

8020206         Hubbard, et al.                          September 13, 2011   System and method of analyzing web content

8024384         Prabhakar, et al.                        September 20, 2011   Techniques for crawling dynamic web content

8032721         Murai                                    October 4, 2011      Access control apparatus and access control method

8037409         Jacob, et al.                            October 11, 2011     Method for learning portal content model enhancements

8041913         Wang                                     October 18, 2011     Data protection method   

8069161         Bugir, et al.                            November 29, 2011    System, program product, and methods to enhance content management

8069471         Boren                                    November 29, 2011    Internet security dynamics assessment system, program product, and related methods

8082539         Schelkogonov, et al.                     December 20, 2011    System and method for managing web-based forms and dynamic content of website

8095923         Harvey, et al.                           January 10, 2012     System and method for deploying and managing intelligent nodes in a distributed network

8099709         Baikov, et al.                           January 17, 2012     Method and system for generating and employing a dynamic web services interface model

8103962         Embley, et al.                           January 24, 2012     Form-based ontology creation and information harvesting

8117441         Kurien, et al.                           February 14, 2012    Integrating security protection tools with computer device integrity and privacy policy

8146054         Baker, et al.                            March 27, 2012       Hybrid data object model 

8146074         Ito, et al.                              March 27, 2012       Computer-readable recording medium containing application management program, and method and apparatus for application management

8150717         Whitmore                                 April 3, 2012        Automated risk assessments using a contextual data model that correlates physical and logical assets

8156105         Altounian, et al.                        April 10, 2012       Rapid item data entry for physical items in the control of a user in an item data management server

8156158         Rolls, et al.                            April 10, 2012       Method and system for use of a database of personal data records

8166406         Goldfeder, et al.                        April 24, 2012       Internet privacy user interface

8176061         Swanbeck, et al.                         May 8, 2012          Tracking digital assets on a distributed network

8176177         Sussman, et al.                          May 8, 2012          Methods and systems for reducing burst usage of a networked computer system

8176334         Vainstein                                May 8, 2012          Document security system that permits external users to gain access to secured files

8176470         Klumpp, et al.                           May 8, 2012          Collaborative derivation of an interface and partial implementation of programming code

8180759         Hamzy                                    May 15, 2012         Spell checking URLs in a resource

8185409         Putnam, et al.                           May 22, 2012         Method and apparatus for operative event documentation and related data management

8196176         Berteau, et al.                          June 5, 2012         System and method for identifying a cookie as a privacy threat

8205140         Hafeez, et al.                           June 19, 2012        Method and apparatus for the use of network coding in a wireless communication network

8214803         Horii, et al.                            July 3, 2012         Program testing method and testing device

8234377         Cohn                                     July 31, 2012        Dynamically migrating computer networks

8239244         Ginsberg, et al.                         August 7, 2012       System and method for transaction log cleansing and aggregation

8250051         Bugir, et al.                            August 21, 2012      System, program product, and methods to enhance media content management

8255468         Vitaldevara, et al.                      August 28, 2012      Email management based on user behavior

8266231         Golovin, et al.                          September 11, 2012   Systems and methods for monitoring messaging systems

8275632         Awaraji, et al.                          September 25, 2012   Privacy compliant consent and data access management system and methods

8275793         Ahmad, et al.                            September 25, 2012   Transaction transforms   

8286239         Sutton                                   October 9, 2012      Identifying and managing web risks

8312549         Goldberg, et al.                         November 13, 2012    Practical threat analysis

8316237         Felsher, et al.                          November 20, 2012    System and method for secure three-party communications

8332908         Hatakeyama, et al.                       December 11, 2012    Sharing management system, sharing management method and program

8341405         Meijer, et al.                           December 25, 2012    Access management in an off-premise environment

8346929         Lai                                      January 1, 2013      System and method for generating secure Web service architectures  using a Web Services security assessment methodology

8364713         Pollard                                  January 29, 2013     Personal data manager systems and methods

8370794         Moosmann, et al.                         February 5, 2013     Software model process component

8380630         Felsher                                  February 19, 2013    Information record infrastructure, system and method

8380743         Convertino, et al.                       February 19, 2013    System and method for supporting targeted sharing and early curation of information

8381180         Rostoker                                 February 19, 2013    Visually exposing data services to analysts

8392982         Harris, et al.                           March 5, 2013        Systems and methods for selective authentication, authorization, and auditing in connection with traffic management

8418226         Gardner                                  April 9, 2013        Persistent servicing agent

8423954         Ronen, et al.                            April 16, 2013       Interactive container of development components and solutions

8429179         Mirhaji                                  April 23, 2013       Method and system for ontology driven data collection and processing

8429597         Prigge                                   April 23, 2013       Software for integrated modeling of user interfaces with applications

8429630         Nickolov, et al.                         April 23, 2013       Globally distributed utility computing cloud

8429758         Chen, et al.                             April 23, 2013       System and method for privacy protection using identifiability risk assessment

8438644         Watters, et al.                          May 7, 2013          Information system security based on threat vectors

8463247         Misiag                                   June 11, 2013        Location-based dynamic hyperlinking methods and systems

8468244         Redlich, et al.                          June 18, 2013        Digital information infrastructure and method for security designated data and with granular data stores

8473324         Alvarez, et al.                          June 25, 2013        Assessment of risk associated with international cross border data movement

8474012         Ahmed, et al.                            June 25, 2013        Progressive consent      

8494894         Jaster, et al.                           July 23, 2013        Universal customer based information and ontology platform for business information and innovation management

8504481         Motahari, et al.                         August 6, 2013       System and method for protecting user privacy using social inference protection techniques

8510199         Erlanger                                 August 13, 2013      Method and apparatus for financial product risk determination

8516076         Thomas                                   August 20, 2013      System and method for compiling statistics in an IP marketplace

8533746         Nolan, et al.                            September 10, 2013   Health integration platform API

8539359         Rapaport, et al.                         September 17, 2013   Social network driven indexing system for instantly clustering people with concurrent focus on same topic into on-topic chat rooms and/or for generating on-topic search results tailored to user preferences regarding topic

8539437         Finlayson, et al.                        September 17, 2013   Security process model for tasks within a software factory

8560645         Linden, et al.                           October 15, 2013     Location-aware configuration

8560956         Curtis, et al.                           October 15, 2013     Processing model of an application wiki

8561153         Grason, et al.                           October 15, 2013     Web-based collaborative framework

8565729         Moseler, et al.                          October 22, 2013     Devices and methods for data transfer during charging of a portable device

8566938         Prakash, et al.                          October 22, 2013     System and method for electronic message analysis for phishing detection

8571909         Miller, et al.                           October 29, 2013     Business intelligence system and method utilizing multidimensional analysis of a plurality of transformed and scaled data streams

8578036         Holfelder, et al.                        November 5, 2013     Providing standardized transparency for cookies and other website data using a server side description file

8578166         De Monseignat, et al.                    November 5, 2013     System and method for authentication, data transfer, and protection against phishing

8578481         Rowley                                   November 5, 2013     Method and system for determining a probability of entry of a counterfeit domain in a browser

8578501         Ogilvie                                  November 5, 2013     Anonymous social networking with community-based privacy reviews obtained by members

8583694         Siegel, et al.                           November 12, 2013    Health-care related database middleware

8583766         Dixon, et al.                            November 12, 2013    A/B testing              

8589183         Awaraji, et al.                          November 19, 2013    Privacy compliant consent and data access management system and methods

8601467         Hofhansl, et al.                         December 3, 2013     Methods and systems for upgrading and installing application packages to an application platform

8601591         Krishnamurthy, et al.                    December 3, 2013     Method and apparatus for providing web privacy

8606746         Yeap, et al.                             December 10, 2013    Privacy management policy hub

8612420         Sun, et al.                              December 17, 2013    Configuring web crawler to extract web page information

8612993         Grant, et al.                            December 17, 2013    Identity persistence via executable scripts

8615731         Doshi                                    December 24, 2013    System and method for automating the development of web services that incorporate business rules

8620952         Bennett, et al.                          December 31, 2013    System for database reporting

8621637         Al-Harbi, et al.                         December 31, 2013    Systems, program product and methods for performing a risk assessment workflow process for plant networks and systems

8626671         Federgreen                               January 7, 2014      System and method for automated data breach compliance

8627114         Resch, et al.                            January 7, 2014      Authenticating a data access request to a dispersed storage network

8630961         Beilby, et al.                           January 14, 2014     Chatbots                 

8640110         Kopp, et al.                             January 28, 2014     Business object service simulation

8646072         Savant                                   February 4, 2014     Detecting misuse of trusted seals

8650399         Le Bihan, et al.                         February 11, 2014    Memory device and chip set processor pairing

8656456         Maxson, et al.                           February 18, 2014    Privacy preferences management system

8661036         Turski, et al.                           February 25, 2014    Metadata editing control 

8667074         Farkas                                   March 4, 2014        Systems and methods for email tracking and email spam reduction using dynamic email addressing schemes

8667487         Boodman, et al.                          March 4, 2014        Web browser extensions   

8677472         Dotan, et al.                            March 18, 2014       Multi-point collection of behavioral data relating to a virtualized browsing session with a secure server

8681984         Lee, et al.                              March 25, 2014       Context-aware based RFID privacy control system and personal privacy protection method using the same

8682698         Cashman, et al.                          March 25, 2014       System and method for secure self registration with an insurance portal

8683502         Shkedi, et al.                           March 25, 2014       Targeted television advertising based on profiles linked to multiple online devices

8688601         Jaiswal                                  April 1, 2014        Systems and methods for generating machine learning-based classifiers for detecting specific categories of sensitive information

8689292         Williams, et al.                         April 1, 2014        Method and systems for dynamically providing communities of interest on an end user workstation

8693689         Belenkiy, et al.                         April 8, 2014        Location brokering for providing security, privacy and services

8700524         Williams, et al.                         April 15, 2014       Systems and methods to restrict payment transactions

8700699         Shen, et al.                             April 15, 2014       Using a proxy server for a mobile browser

8706742         Ravid, et al.                            April 22, 2014       System for enhancing expert-based computerized analysis of a set of digital documents and methods useful in conjunction therewith

8707451         Ture, et al.                             April 22, 2014       Search hit URL modification for secure application integration

8712813         King                                     April 29, 2014       Audit planning           

8713098         Adya, et al.                             April 29, 2014       Method and system for migrating object update messages through synchronous data propagation

8713638         Hu, et al.                               April 29, 2014       Managing personal information on a network

8719366         Mathew, et al.                           May 6, 2014          Profile and consent accrual

8732839         Hohl                                     May 20, 2014         Automatically protecting computer systems from attacks that exploit security vulnerabilities

8744894         Christiansen, et al.                     June 3, 2014         Method and system for assessing, managing, and monitoring information technology risk

8751285         Deb, et al.                              June 10, 2014        System and method for calculating a risk to an entity

8763071         Sinha, et al.                            June 24, 2014        Systems and methods for mobile application security classification and enforcement

8763082         Huber, et al.                            June 24, 2014        Interactive client management of an access control list

8767947         Ristock, et al.                          July 1, 2014         System and method for testing and deploying rules

8769242         Tkac, et al.                             July 1, 2014         Translation map simplification

8769671         Shraim, et al.                           July 1, 2014         Online fraud solution    

8788935         Hirsch, et al.                           July 22, 2014        Systems and methods for creating or updating an application using website content

8793614         Wilson, et al.                           July 29, 2014        History-based tracking of user preference settings

8793650         Hilerio, et al.                          July 29, 2014        Dynamic web application notifications including task bar overlays

8793781         Grossi, et al.                           July 29, 2014        Method and system for analyzing policies for compliance with a specified policy using a policy template

8793809         Falkenburg, et al.                       July 29, 2014        Unified tracking data management

8799984         Ahn                                      August 5, 2014       User agent to exercise privacy control management in a user-centric identity management system

8805707         Schumann, Jr., et al.                    August 12, 2014      Systems and methods for providing a safety score associated with a user location

8805806         Amarendran, et al.                       August 12, 2014      Automated, tiered data retention

8805925         Price, et al.                            August 12, 2014      Method and apparatus for maintaining high data integrity and for providing a secure audit for fraud prevention and detection

8812342         Barcelo, et al.                          August 19, 2014      Managing and monitoring continuous improvement in detection of compliance violations

8812752         Shih, et al.                             August 19, 2014      Connector interface for data pipeline

8812766         Kranendonk, et al.                       August 19, 2014      File mapping and converting for dynamic disk personalization for multiple platforms

8819253         Simeloff, et al.                         August 26, 2014      Network message generation for automated authentication

